1. FC Kaiserslautern,Kaiserslautern
1. FC Köln,FC Koln
1. FC Nürnberg,Nurnberg
1. FC Saarbrücken,
1. FSV Mainz 05 ,Mainz
1899 Hoffenheim,Hoffenheim
Alemannia Aachen,
Arminia Bielefeld,
Bayer 04 Leverkusen,Leverkusen
Blau-Weiß 90 Berlin,
Borussia Dortmund,Dortmund
Borussia Mönchengladbach,M'gladbach
Borussia Neunkirchen,
Dynamo Dresden,
Eintracht Braunschweig,Braunschweig
Eintracht Frankfurt,Ein Frankfurt
FC 08 Homburg,
FC Augsburg,Augsburg
FC Bayern München,Bayern Munich
FC Energie Cottbus,
FC Hansa Rostock,
FC Ingolstadt 04,Ingolstadt
FC Schalke 04,Schalke 04
FC St. Pauli,St Pauli
Fortuna Düsseldorf,Fortuna Dusseldorf
Fortuna Köln,
Hamburger SV,Hamburg
Hannover 96,Hannover
Hertha BSC,Hertha
Karlsruher SC,
KFC Uerdingen 05,
Kickers Offenbach,
MSV Duisburg,
Preußen Münster,
Rot-Weiß Essen,
RW Oberhausen,
SC Freiburg,Freiburg
SC Paderborn,Paderborn
SG Wattenscheid 09,
SpVgg Greuther Fürth,Greuther Furth
SpVgg Unterhaching,
SSV Ulm 1846,
Stuttgart Kickers,
SV Darmstadt 98,Darmstadt
Tasmania 1900 Berlin,
Tennis Borussia Berlin,
TSV 1860 München,
VfB Leipzig,
VfB Stuttgart,Stuttgart
VfL Bochum,
VfL Wolfsburg,Wolfsburg
Waldhof Mannheim,
Werder Bremen,
Wuppertaler SV,
